"score","species","genus","prevalence","nboccur","avgcountnz","avgcount"
"0.96031746","Cera.cera","Cera","0.16","12","1.333333333","0.213333333"
"0.75","Leuc.alpi","Leuc","0.4","30","1.266666667","0.506666667"
"0.978571429","Cirs.acau","Cirs","0.066666667","5","1.4","0.093333333"
"0.8808933","Drab.aizo","Drab","0.173333333","13","1","0.173333333"
"0.993150685","Drya.octo","Drya","0.026666667","2","1","0.026666667"
"0.897941681","Erig.unif","Erig","0.293333333","22","1","0.293333333"
"0.841334895","Gent.camp","Gent","0.186666667","14","1","0.186666667"
"0.932835821","Gent.acau","Gent","0.106666667","8","1","0.106666667"
"0.686930091","Gent.vern","Gent","0.373333333","28","1.035714286","0.386666667"
"0.761111111","Geum.mont","Geum","0.6","45","1.733333333","1.04"
"0.867354196","Omal.supi","Omal","0.493333333","37","1.459459459","0.72"
"0.799258475","Andr.vita","Andr","0.213333333","16","1.125","0.24"
"0.890625","Hier.pili","Hier","0.146666667","11","1","0.146666667"
"0.956521739","Homo.alpi","Homo","0.08","6","1","0.08"
"0.717948718","Leon.pyre","Leon","0.52","39","1.435897436","0.746666667"
"0.797727273","Ligu.muto","Ligu","0.266666667","20","1.05","0.28"
"0.971428571","Lloy.sero","Lloy","0.066666667","5","1","0.066666667"
"0.810897436","Minu.sedo","Minu","0.52","39","1.384615385","0.72"
"0.923076923","Minu.vern","Minu","0.133333333","10","1.1","0.146666667"
"0.931506849","Phyt.orbi","Phyt","0.026666667","2","1","0.026666667"
"0.918803419","Plan.alpi","Plan","0.48","36","2.055555556","0.986666667"
"0.825513196","Poly.vivi","Poly","0.413333333","31","1.387096774","0.573333333"
"0.801282051","Pote.aure","Pote","0.48","36","1.805555556","0.866666667"
"0.890625","Pote.cran","Pote","0.146666667","11","1.090909091","0.16"
"0.9375","Pote.gran","Pote","0.04","3","1.666666667","0.066666667"
"0.902046784","Puls.vern","Puls","0.24","18","1.111111111","0.266666667"
"0.848684211","Ranu.kuep","Ranu","0.253333333","19","1.736842105","0.44"
"0.759803922","Sagi.glab","Sagi","0.32","24","1.5","0.48"
"0.787990196","Sali.herb","Sali","0.32","24","2.791666667","0.893333333"
"0.993150685","Sali.reti","Sali","0.026666667","2","1.5","0.04"
"0.993150685","Sali.retu","Sali","0.026666667","2","2","0.053333333"
"0.952054795","Sali.serp","Sali","0.026666667","2","1.5","0.04"
"0.939393939","Saxi.pani","Saxi","0.12","9","1.222222222","0.146666667"
"0.78712406","Sedu.alpe","Sedu","0.253333333","19","1.210526316","0.306666667"
"0.812169312","Semp.mont","Semp","0.28","21","1.142857143","0.32"
"0.876923077","Sene.inca","Sene","0.133333333","10","1","0.133333333"
"0.805555556","Sibb.proc","Sibb","0.6","45","1.311111111","0.786666667"
"0.825559701","Sile.acau","Sile","0.106666667","8","1.125","0.12"
"0.952054795","Thym.poly","Thym","0.026666667","2","1.5","0.04"
"0.875529661","Vero.alpi","Vero","0.213333333","16","1.1875","0.253333333"
"0.9375","Vero.alli","Vero","0.04","3","1","0.04"
"0.723214286","Vero.bell","Vero","0.466666667","35","1.171428571","0.546666667"
"0.768796992","Myos.alpe","Myos","0.253333333","19","1","0.253333333"
"0.845170455","Tara.alpi","Tara","0.146666667","11","1.181818182","0.173333333"
"0.98630137","Scab.luci","Scab","0.026666667","2","1","0.026666667"
"0.993150685","Anth.alpe","Anth","0.026666667","2","1","0.026666667"
"0.978571429","Oxyt.camp","Oxyt","0.066666667","5","1","0.066666667"
"0.956521739","Oxyt.lapp","Oxyt","0.08","6","1","0.08"
"0.916666667","Lotu.alpi","Lotu","0.12","9","1.222222222","0.146666667"
"0.876811594","Trif.alpi","Trif","0.08","6","2","0.16"
"0.993150685","Trif.badi","Trif","0.026666667","2","1","0.026666667"
"0.921428571","Trif.thal","Trif","0.066666667","5","1","0.066666667"
