"A","Unnamed: 0","variable","value"
"187","Ante.dioi","Snow","'-4.72386108"
"188","Arni.mont","Snow","'-1.084607745"
"189","Aste.alpi","Snow","'-5.725960231"
"190","Bart.alpi","Snow","0.0"
"191","Camp.sche","Snow","'-2.9461147239999996"
"192","Card.alpi","Snow","5.117692735"
"193","Cera.stri","Snow","'-1.9373490919999998"
"194","Cera.cera","Snow","2.542272165"
"195","Leuc.alpi","Snow","0.0"
"196","Cirs.acau","Snow","0.0"
"197","Drab.aizo","Snow","'-3.3050936710000003"
"198","Drya.octo","Snow","0.0"
"199","Erig.unif","Snow","'-3.27443726"
"200","Gent.camp","Snow","'-0.755930888"
"201","Gent.acau","Snow","'-4.025035983"
"202","Gent.vern","Snow","'-1.223389661"
"203","Geum.mont","Snow","0.643208052"
"204","Omal.supi","Snow","4.1359364030000005"
"205","Andr.vita","Snow","0.0"
"206","Hier.pili","Snow","0.0"
"207","Homo.alpi","Snow","0.0"
"208","Leon.pyre","Snow","1.679983945"
"209","Ligu.muto","Snow","'-2.803215498"
"210","Lloy.sero","Snow","'-0.741517324"
"211","Minu.sedo","Snow","'-0.77813301"
"212","Minu.vern","Snow","'-4.195223373999999"
"213","Phyt.orbi","Snow","0.0"
"214","Plan.alpi","Snow","2.711510722"
"215","Poly.vivi","Snow","'-3.733008211"
"216","Pote.aure","Snow","0.0"
"217","Pote.cran","Snow","'-4.783519351"
"218","Pote.gran","Snow","0.0"
"219","Puls.vern","Snow","'-5.085849799"
"220","Ranu.kuep","Snow","0.173139458"
"221","Sagi.glab","Snow","2.808435315"
"222","Sali.herb","Snow","0.0"
"223","Sali.reti","Snow","0.0"
"224","Sali.retu","Snow","0.0"
"225","Sali.serp","Snow","'-3.472789047"
"226","Saxi.pani","Snow","'-7.319258662"
"227","Sedu.alpe","Snow","0.0"
"228","Semp.mont","Snow","'-3.7399369289999997"
"229","Sene.inca","Snow","0.0"
"230","Sibb.proc","Snow","1.683187051"
"231","Sile.acau","Snow","'-3.68540361"
"232","Thym.poly","Snow","0.0"
"233","Vero.alpi","Snow","2.475060633"
"234","Vero.alli","Snow","0.0"
"235","Vero.bell","Snow","0.0"
"236","Myos.alpe","Snow","'-0.5888541660000001"
"237","Tara.alpi","Snow","0.310358062"
"238","Scab.luci","Snow","'-3.50481375"
"239","Anth.alpe","Snow","'-4.442378413"
"240","Oxyt.camp","Snow","'-8.336407271"
"241","Oxyt.lapp","Snow","'-8.047292753999999"
"242","Lotu.alpi","Snow","'-0.74397962"
"243","Trif.alpi","Snow","0.0"
"244","Trif.badi","Snow","0.0"
"245","Trif.thal","Snow","'-1.693051535"
"246","Agro.rupe","Aspect","0.059527868"
"247","Alop.alpi","Aspect","'-0.081921682"
"248","Anth.nipp","Aspect","0.136253503"
"249","Heli.sede","Aspect","'-0.17700977899999998"
"250","Aven.vers","Aspect","0.298743172"
"251","Care.rosa","Aspect","'-0.14717939800000002"
"252","Care.foet","Aspect","'-0.000379353"
"253","Care.parv","Aspect","0.06516945099999999"
"254","Care.rupe","Aspect","'-0.242726573"
"255","Care.semp","Aspect","0.20196877"
"256","Fest.laev","Aspect","0.364166149"
"257","Fest.quad","Aspect","'-0.248665434"
"258","Fest.viol","Aspect","'-0.07803593"
"259","Kobr.myos","Aspect","0.0"
"260","Luzu.lute","Aspect","0.028003708"
"261","Poa.alpi","Aspect","'-0.175958282"
"262","Poa.supi","Aspect","0.16090854300000001"
"263","Sesl.caer","Aspect","0.077581974"
"264","Alch.pent","Aspect","0.15084172199999998"
"265","Alch.glau","Aspect","0.16596170300000002"
"266","Alch.vulg","Aspect","0.051103788"
"267","Andr.brig","Aspect","'-0.138477569"
"268","Ante.carp","Aspect","'-0.157645864"
"269","Ante.dioi","Aspect","0.313788337"
"270","Arni.mont","Aspect","'-0.13608281"
"271","Aste.alpi","Aspect","0.141988858"
"272","Bart.alpi","Aspect","0.755567034"
"273","Camp.sche","Aspect","'-0.08918620199999999"
"274","Card.alpi","Aspect","'-0.097680419"
"275","Cera.stri","Aspect","0.14688399800000002"
"276","Cera.cera","Aspect","0.09611660300000001"
"277","Leuc.alpi","Aspect","0.006725414"
"278","Cirs.acau","Aspect","0.073167487"
"279","Drab.aizo","Aspect","'-0.029654531"
"280","Drya.octo","Aspect","0.755559703"
"281","Erig.unif","Aspect","'-0.066724293"
"282","Gent.camp","Aspect","0.21943347100000002"
"283","Gent.acau","Aspect","0.363759461"
"284","Gent.vern","Aspect","0.21333474600000002"
"285","Geum.mont","Aspect","0.289408504"
"286","Omal.supi","Aspect","0.0"
"287","Andr.vita","Aspect","0.141964697"
"288","Hier.pili","Aspect","'-0.5285936"
"289","Homo.alpi","Aspect","0.8527989490000001"
"290","Leon.pyre","Aspect","0.068221621"
"291","Ligu.muto","Aspect","'-0.019504087"
"292","Lloy.sero","Aspect","0.632757139"
"293","Minu.sedo","Aspect","0.213529023"
"294","Minu.vern","Aspect","'-0.075737264"
"295","Phyt.orbi","Aspect","0.143122422"
"296","Plan.alpi","Aspect","'-0.145569161"
"297","Poly.vivi","Aspect","0.127729179"
"298","Pote.aure","Aspect","0.19204817899999999"
"299","Pote.cran","Aspect","'-0.154744689"
"300","Pote.gran","Aspect","0.133633802"
"301","Puls.vern","Aspect","0.063371893"
"302","Ranu.kuep","Aspect","0.042219984"
"303","Sagi.glab","Aspect","0.02288162"
"304","Sali.herb","Aspect","'-0.24041976"
"305","Sali.reti","Aspect","0.755569423"
"306","Sali.retu","Aspect","0.755562491"
"307","Sali.serp","Aspect","0.507296866"
"308","Saxi.pani","Aspect","0.065364069"
"309","Sedu.alpe","Aspect","'-0.20674378399999999"
"310","Semp.mont","Aspect","'-0.08480069999999999"
"311","Sene.inca","Aspect","0.20286814"
"312","Sibb.proc","Aspect","0.13181959199999999"
"313","Sile.acau","Aspect","0.057058951"
"314","Thym.poly","Aspect","0.283438785"
"315","Vero.alpi","Aspect","'-0.07362470900000001"
"316","Vero.alli","Aspect","0.377900831"
"317","Vero.bell","Aspect","'-0.121006666"
"318","Myos.alpe","Aspect","'-0.15300285"
"319","Tara.alpi","Aspect","0.12906093400000002"
"320","Scab.luci","Aspect","0.665764229"
"321","Anth.alpe","Aspect","0.39419848"
"322","Oxyt.camp","Aspect","0.41250334899999996"
"323","Oxyt.lapp","Aspect","0.018074578"
"324","Lotu.alpi","Aspect","0.12337253599999999"
"325","Trif.alpi","Aspect","'-0.304769055"
"326","Trif.badi","Aspect","'-0.18200886300000002"
"327","Trif.thal","Aspect","0.0"
"328","Agro.rupe","Form","'-0.465468437"
"329","Alop.alpi","Form","'-0.33726198799999996"
"330","Anth.nipp","Form","'-0.038132947"
"331","Heli.sede","Form","0.21046775199999998"
"332","Aven.vers","Form","0.303502642"
"333","Care.rosa","Form","0.059436795"
"334","Care.foet","Form","'-0.026442111"
"335","Care.parv","Form","0.11914442300000001"
"336","Care.rupe","Form","0.185310452"
"337","Care.semp","Form","'-0.17304798"
"338","Fest.laev","Form","'-0.35178258799999995"
"339","Fest.quad","Form","0.226113438"
"340","Fest.viol","Form","0.10794176"
"341","Kobr.myos","Form","'-0.12157055800000001"
"342","Luzu.lute","Form","0.40724434200000004"
"343","Poa.alpi","Form","0.437947975"
"344","Poa.supi","Form","0.07776959900000001"
"345","Sesl.caer","Form","0.16421651199999998"
"346","Alch.pent","Form","'-0.11706513699999999"
"347","Alch.glau","Form","'-0.362936996"
"348","Alch.vulg","Form","0.8892114609999999"
"349","Andr.brig","Form","'-0.49373835899999996"
"350","Ante.carp","Form","'-0.48378463"
"351","Ante.dioi","Form","0.09114077300000001"
"352","Arni.mont","Form","0.062241900999999995"
"353","Aste.alpi","Form","0.027741347000000003"
"354","Bart.alpi","Form","0.0"
"355","Camp.sche","Form","0.0"
"356","Card.alpi","Form","'-0.161906566"
"357","Cera.stri","Form","0.102557742"
"358","Cera.cera","Form","0.069943035"
"359","Leuc.alpi","Form","'-0.124550305"
"360","Cirs.acau","Form","0.335789212"
"361","Drab.aizo","Form","'-0.04061618"
"362","Drya.octo","Form","0.0"
"363","Erig.unif","Form","'-0.041474314"
"364","Gent.camp","Form","'-0.299457788"
"365","Gent.acau","Form","0.0"
"366","Gent.vern","Form","'-0.086401318"
"367","Geum.mont","Form","0.101627465"
"368","Omal.supi","Form","'-0.17837345"
"369","Andr.vita","Form","'-0.16589616599999998"
"370","Hier.pili","Form","'-0.35536355"
"371","Homo.alpi","Form","'-0.262536087"
"372","Leon.pyre","Form","0.13457527"
"373","Ligu.muto","Form","'-0.20804926"
"374","Lloy.sero","Form","'-0.824504073"
"375","Minu.sedo","Form","0.12031230000000001"
"376","Minu.vern","Form","0.10785034"
"377","Phyt.orbi","Form","0.0"
"378","Plan.alpi","Form","'-0.443318029"
"379","Poly.vivi","Form","0.022365682"
"380","Pote.aure","Form","'-0.22390288"
"381","Pote.cran","Form","0.032087374"
"382","Pote.gran","Form","0.014561872"
"383","Puls.vern","Form","'-0.20588715"
"384","Ranu.kuep","Form","'-0.121120231"
"385","Sagi.glab","Form","'-0.124669702"
"386","Sali.herb","Form","'-0.219298178"
"387","Sali.reti","Form","0.0"
"388","Sali.retu","Form","0.0"
"389","Sali.serp","Form","0.267299475"
"390","Saxi.pani","Form","'-0.00174922"
"391","Sedu.alpe","Form","'-0.5386005220000001"
"392","Semp.mont","Form","0.07136865099999999"
"393","Sene.inca","Form","'-0.421238681"
"394","Sibb.proc","Form","'-0.066941252"
"395","Sile.acau","Form","0.278572304"
"396","Thym.poly","Form","0.416270105"
"397","Vero.alpi","Form","'-0.034736084"
"398","Vero.alli","Form","0.10147453699999999"
"399","Vero.bell","Form","'-0.333234663"
"400","Myos.alpe","Form","'-0.605822234"
"401","Tara.alpi","Form","'-0.426143865"
"402","Scab.luci","Form","'-0.36594006100000004"
"403","Anth.alpe","Form","0.249650572"
"404","Oxyt.camp","Form","0.17010361699999998"
"405","Oxyt.lapp","Form","0.090568321"
"406","Lotu.alpi","Form","'-1.186711675"
"407","Trif.alpi","Form","'-0.23641050100000002"
"408","Trif.badi","Form","0.6149384179999999"
"409","Trif.thal","Form","0.409346783"
"410","Agro.rupe","ZoogD","0.063421959"
"411","Alop.alpi","ZoogD","'-0.30119232100000004"
"412","Anth.nipp","ZoogD","'-0.178232492"
"413","Heli.sede","ZoogD","0.0"
"414","Aven.vers","ZoogD","'-0.010257915"
"415","Care.rosa","ZoogD","0.295489755"
"416","Care.foet","ZoogD","'-0.134451823"
"417","Care.parv","ZoogD","0.21147584100000003"
"418","Care.rupe","ZoogD","0.42123044600000004"
"419","Care.semp","ZoogD","0.477530953"
"420","Fest.laev","ZoogD","0.129914334"
"421","Fest.quad","ZoogD","0.216237608"
"422","Fest.viol","ZoogD","0.773548647"
"423","Kobr.myos","ZoogD","0.23726132"
"424","Luzu.lute","ZoogD","'-0.263308341"
"425","Poa.alpi","ZoogD","0.15181904"
"426","Poa.supi","ZoogD","'-0.6290540929999999"
"427","Sesl.caer","ZoogD","'-0.138480838"
"428","Alch.pent","ZoogD","'-0.5146036970000001"
"429","Alch.glau","ZoogD","0.39445876"
"430","Alch.vulg","ZoogD","'-1.363104614"
"431","Andr.brig","ZoogD","'-0.127112164"
"432","Ante.carp","ZoogD","0.379897374"
"433","Ante.dioi","ZoogD","'-0.09702245400000001"
"434","Arni.mont","ZoogD","0.22580147399999997"
"435","Aste.alpi","ZoogD","'-0.141490906"
"436","Bart.alpi","ZoogD","0.0"
"437","Camp.sche","ZoogD","0.192091412"
"438","Card.alpi","ZoogD","'-0.411350923"
"439","Cera.stri","ZoogD","0.580974835"
"440","Cera.cera","ZoogD","'-1.046894008"
"441","Leuc.alpi","ZoogD","0.093467472"
"442","Cirs.acau","ZoogD","'-1.47603356"
"443","Drab.aizo","ZoogD","'-0.10060433199999999"
"444","Drya.octo","ZoogD","0.0"
"445","Erig.unif","ZoogD","'-0.022352237"
"446","Gent.camp","ZoogD","0.000468515"
"447","Gent.acau","ZoogD","0.285529027"
"448","Gent.vern","ZoogD","'-0.020058081000000002"
"449","Geum.mont","ZoogD","0.10247166"
"450","Omal.supi","ZoogD","'-0.82511804"
"451","Andr.vita","ZoogD","'-0.096847591"
"452","Hier.pili","ZoogD","'-0.044782925"
"453","Homo.alpi","ZoogD","'-0.38437373399999997"
"454","Leon.pyre","ZoogD","'-0.5385265260000001"
"455","Ligu.muto","ZoogD","0.22334478"
"456","Lloy.sero","ZoogD","'-0.034973116"
"457","Minu.sedo","ZoogD","0.10124583699999999"
"458","Minu.vern","ZoogD","'-0.554799511"
"459","Phyt.orbi","ZoogD","'-1.1061765140000002"
"460","Plan.alpi","ZoogD","0.337786479"
"461","Poly.vivi","ZoogD","0.25166992"
"462","Pote.aure","ZoogD","'-0.08382785599999999"
"463","Pote.cran","ZoogD","0.45848489"
"464","Pote.gran","ZoogD","'-1.112336899"
"465","Puls.vern","ZoogD","0.374700614"
"466","Ranu.kuep","ZoogD","'-0.353205308"
"467","Sagi.glab","ZoogD","'-0.057113131"
"468","Sali.herb","ZoogD","'-0.026525316"
"469","Sali.reti","ZoogD","0.0"
"470","Sali.retu","ZoogD","0.0"
"471","Sali.serp","ZoogD","'-0.384715545"
"472","Saxi.pani","ZoogD","0.354103978"
"473","Sedu.alpe","ZoogD","0.177042637"
"474","Semp.mont","ZoogD","'-0.130455835"
"475","Sene.inca","ZoogD","'-0.602789575"
"476","Sibb.proc","ZoogD","'-0.12149477"
"477","Sile.acau","ZoogD","'-0.550328057"
"478","Thym.poly","ZoogD","'-0.743856105"
"479","Vero.alpi","ZoogD","'-0.50757005"
"480","Vero.alli","ZoogD","'-0.630295817"
"481","Vero.bell","ZoogD","0.0"
"482","Myos.alpe","ZoogD","0.0"
"483","Tara.alpi","ZoogD","'-0.26084797600000004"
"484","Scab.luci","ZoogD","'-0.615927546"
"485","Anth.alpe","ZoogD","'-0.055519244"
"486","Oxyt.camp","ZoogD","'-0.177032582"
"487","Oxyt.lapp","ZoogD","'-0.039586211"
"488","Lotu.alpi","ZoogD","0.506956355"
"489","Trif.alpi","ZoogD","0.237057398"
"490","Trif.badi","ZoogD","'-1.367176221"
"491","Trif.thal","ZoogD","'-0.30913851800000003"
