site;enviro;enviro2;sp_01;sp_02;sp_03;sp_04;sp_05;sp_06;sp_07;sp_08;sp_09;sp_10;sp_11;sp_12;sp_13;sp_14;sp_15;sp_16;sp_17;sp_18;sp_19;sp_20
118;-0.00363221193201819;-0.0104726440721465;1;1;3;2;5;3;1;1;7;0;4;6;2;2;1;1;0;0;0;0
119;-0.016103114244617;0.0163997928509222;10;1;6;5;2;5;3;5;1;1;0;1;0;0;0;0;0;0;0;0
120;0.00464061227112778;-0.008484879639810391;0;0;0;1;0;0;0;2;4;3;3;6;2;3;3;8;1;1;1;2
121;-0.0114860600602362;0.0022641155054855602;3;0;4;13;5;2;2;5;1;2;2;0;0;0;1;0;0;0;0;0
122;-0.0161668065457892;0.0166292166811663;11;4;3;8;2;4;4;1;2;0;1;0;0;0;0;0;0;0;0;0
123;0.00522662362068443;-0.00774467423918595;0;0;0;0;0;0;4;1;3;0;1;3;4;8;9;5;1;1;0;0
124;-0.000305395979451555;-0.0115731338006188;0;1;0;0;2;3;0;3;7;6;0;5;7;1;2;2;0;0;1;0
125;-0.00964599375112961;-0.0019976220549178803;6;2;7;1;3;8;1;4;3;2;0;1;1;1;0;0;0;0;0;0
126;-0.00386910908722346;-0.0102968041087927;3;1;2;2;3;3;3;6;1;2;3;3;1;3;1;0;2;0;1;0
127;0.005286111734354729;-0.0076650996919964;0;0;0;1;0;0;1;2;2;2;1;2;6;4;6;5;0;3;5;0
128;0.00901843296828816;-0.00103851289519084;0;0;0;0;0;0;0;0;1;2;1;2;3;5;10;6;1;6;3;0
129;-4.95726167637992e-05;-0.0115519360907073;0;0;1;1;1;1;7;3;5;0;3;7;2;3;3;1;2;0;0;0
130;-0.008747240206343529;-0.00379499604576466;1;0;4;7;4;4;2;5;1;2;0;4;1;1;1;3;0;0;0;0
131;-0.0164195115848945;0.0175487084348413;10;0;8;7;7;5;1;2;0;0;0;0;0;0;0;0;0;0;0;0
132;-0.0022520349793838396;-0.0112394071701673;1;0;1;2;3;3;1;5;5;3;0;4;5;3;2;0;1;1;0;0
133;-0.00601194907293467;-0.008117473187230979;1;4;0;3;0;4;6;4;5;1;5;4;0;2;1;0;0;0;0;0
134;0.00170792180863321;-0.0109977629144099;0;0;0;1;0;1;6;3;4;0;4;4;1;4;3;6;1;2;0;0
135;0.00386997452851816;-0.00933757865604122;0;1;0;0;0;2;2;3;1;8;0;5;5;1;5;2;1;3;1;0
136;0.0025237172673311897;-0.0104981419240426;0;0;0;0;0;3;0;2;4;4;0;8;3;3;5;4;1;2;1;0
137;0.00637157389386791;-0.00606963156156843;0;0;0;0;0;0;0;1;3;3;0;6;7;4;7;3;1;4;1;0
138;-0.0133501365477456;0.0073786969167969904;5;0;6;6;9;5;0;4;1;2;1;0;0;0;1;0;0;0;0;0
139;-0.0136176385451956;0.0081784945389602;4;1;7;11;0;6;6;1;2;0;1;1;0;0;0;0;0;0;0;0
140;-0.00919568454768504;-0.0029214897692556104;2;1;4;5;4;10;0;2;3;2;4;1;1;0;1;0;0;0;0;0
141;0.0151224936444182;0.0167314851066041;0;0;0;0;0;0;0;0;0;0;0;0;5;1;3;6;9;7;9;0
142;0.00148437966290615;-0.0111078420826219;1;1;0;0;1;1;1;6;4;1;2;7;0;5;5;4;0;1;0;0
143;0.00195826634514762;-0.0108607877219528;0;0;1;1;0;1;2;3;4;1;2;4;6;3;6;2;0;4;0;0
144;0.00874834244424768;-0.0016260170101366198;0;0;0;0;0;0;1;2;0;1;1;3;6;4;6;6;2;3;5;0
145;-0.007463073570506159;-0.006039475573274999;1;0;6;3;7;6;1;6;3;1;1;3;0;2;0;0;0;0;0;0
146;-0.0120584698891772;0.00374930417938495;5;1;5;7;1;8;3;2;4;1;0;2;0;1;0;0;0;0;0;0
147;-0.0120715947752961;0.0037842456580498896;5;1;2;10;6;3;0;5;2;4;0;1;0;1;0;0;0;0;0;0
148;0.0114407809586218;0.00498364524328167;0;0;0;0;0;1;0;1;0;1;0;2;5;0;10;2;7;6;5;0
149;-0.0104581799314007;-0.000212925454111228;3;0;4;12;1;8;2;4;1;0;0;5;0;0;0;0;0;0;0;0
150;-0.00243946368250257;-0.0111610922375373;1;1;0;2;2;1;1;2;4;3;2;3;2;6;2;5;0;3;0;0
151;-0.014829768786775;0.0120096926012709;5;12;0;7;0;9;3;3;0;0;1;0;0;0;0;0;0;0;0;0
152;-0.0029114695938042;-0.0109279319964582;0;0;2;3;4;2;0;5;8;6;1;2;0;0;1;0;2;3;1;0
153;0.0030957212413316396;-0.0100561712819339;0;0;0;0;0;0;0;4;4;2;3;6;1;2;5;7;1;4;1;0
154;0.0070096827884379605;-0.00500471947948291;0;0;0;0;0;1;0;3;0;5;0;4;8;6;4;7;1;0;0;1
155;0.0096050185685808;0.00029545572450271804;0;0;0;0;0;0;1;0;0;1;1;4;2;3;6;8;3;4;7;0
156;-0.00960779176482072;-0.0020778161185275898;4;0;7;7;2;6;4;3;2;1;0;1;1;1;0;1;0;0;0;0
157;0.0157557168977008;0.0190674892064888;0;0;0;0;0;2;0;0;0;1;1;1;1;2;3;7;3;6;13;0
158;0.00691959079838805;-0.00516077059253295;0;0;0;1;0;0;0;2;1;3;0;4;6;4;6;3;4;3;2;1
159;-0.0165910113516748;0.0181811268341525;13;1;6;4;3;5;1;5;1;1;0;0;0;0;0;0;0;0;0;0
160;0.0133197028094864;0.0105879262454036;0;0;0;0;0;1;0;0;1;0;1;1;3;0;3;8;9;8;5;0
161;0.0006439516973354451;-0.0114184512646448;1;1;1;0;1;2;3;3;7;1;4;4;1;5;3;0;0;0;2;1
162;0.00653508917272859;-0.00580570819008868;0;0;0;0;0;0;0;1;4;1;3;4;0;9;4;9;0;3;1;1
163;-0.00308103021467065;-0.0108316125494269;1;0;4;2;3;6;2;4;2;1;2;3;4;2;1;1;1;0;1;0
164;-0.0174043616788369;0.021272905217545;8;0;9;3;2;8;3;1;3;1;0;1;1;0;0;0;0;0;0;0
165;-0.00400935397652918;-0.0101865985530504;1;0;2;3;1;7;3;5;5;2;0;4;2;3;1;1;0;0;0;0
166;0.0132129446565868;0.0102476531539124;0;0;0;0;0;0;0;0;2;1;0;0;3;0;6;9;5;7;7;0
167;-0.01143684171933;0.00213994496494196;5;0;4;8;3;8;3;7;1;0;0;0;0;1;0;0;0;0;0;0
168;0.0038455415965259;-0.009362370395118929;0;0;0;1;1;2;2;4;1;1;1;5;8;3;3;3;1;4;0;0
169;-0.00481704803771232;-0.00946350415089422;2;0;3;7;0;4;10;3;4;0;1;0;4;1;0;1;0;0;0;0
170;0.0111369866898278;0.00415407638763975;0;0;0;0;0;0;1;0;2;0;2;6;2;1;7;3;1;9;6;0
171;0.0147755218906394;0.0154907506785982;0;0;0;0;0;0;0;1;0;1;1;3;3;0;4;3;8;10;6;0
172;-0.000618920126336503;-0.011578502401795001;0;1;2;1;2;3;2;5;3;1;1;8;2;3;2;1;1;1;0;1
173;0.00631070215042871;-0.00616630511131898;0;0;0;0;1;1;0;1;7;2;1;0;4;5;5;6;0;3;3;1
174;-0.006051985995491621;-0.00806666369150142;0;3;0;5;0;3;8;3;6;0;3;5;1;0;2;0;0;1;0;0
175;0.0103224992919285;0.00203512616603455;0;0;1;0;0;0;0;1;0;0;0;2;3;0;7;13;4;4;5;0
176;0.0144675244800323;0.0144126761650572;0;0;0;0;0;0;0;0;1;0;5;2;1;0;6;4;6;8;7;0
177;0.0133803294626476;0.0107823348785796;0;0;0;0;0;0;0;0;0;0;0;0;3;5;6;8;3;6;9;0
178;0.0116060925710539;0.0054440143206460605;0;0;0;0;0;0;0;0;1;0;0;2;2;0;12;3;8;7;5;0
179;-0.009184737001001841;-0.0029433670463261397;4;0;5;5;2;7;4;3;4;2;0;2;1;0;1;0;0;0;0;0
180;-0.000438756884399214;-0.0115781915394296;0;0;0;4;2;5;0;6;5;3;1;2;2;3;1;3;1;0;2;0
181;0.00541063957099645;-0.00749587866522402;0;0;0;0;1;0;0;1;6;4;0;4;4;7;6;3;0;2;2;0
182;-0.0164399985905513;0.0176238986097098;11;0;7;10;3;3;1;3;2;0;0;0;0;0;0;0;0;0;0;0
183;0.0032407954244693398;-0.0099320653957602;0;0;0;2;0;0;2;4;3;5;0;4;5;4;6;2;0;2;0;1
184;0.0135342300807529;0.0112796527819705;0;0;0;0;0;0;0;0;0;1;1;1;1;2;6;2;5;9;12;0
185;-0.0158421565822504;0.0154695881283798;15;2;3;2;2;6;2;5;1;0;1;0;0;0;1;0;0;0;0;0
186;0.0150242862238705;0.0163774849541237;0;0;0;0;0;0;0;0;0;0;0;0;3;4;8;7;6;4;8;0
187;0.0104965375039938;0.00247503009868894;0;0;0;0;0;0;1;1;1;1;0;1;1;0;6;6;7;6;9;0
188;-0.0126754435309085;0.00543484646798031;4;0;6;10;8;1;0;2;6;1;0;2;0;0;0;0;0;0;0;0
189;0.00894910921030149;-0.0011909137294213801;0;0;0;0;0;1;0;2;2;2;1;2;3;3;2;8;4;4;6;0
190;0.0134300054799536;0.0109422612791633;0;0;0;0;0;0;0;0;1;1;0;0;4;1;5;8;4;9;7;0
191;-0.00832172618221746;-0.00458089955908604;3;1;2;7;2;7;1;4;3;1;2;3;1;0;1;1;0;1;0;0
192;-0.0125450246033205;0.00507122156170856;10;3;1;10;2;5;0;3;4;2;0;0;0;0;0;0;0;0;0;0
193;-0.00168888127566787;-0.0114259099781726;0;0;0;3;1;3;1;7;4;5;0;2;5;4;4;0;0;1;0;0
194;0.000104985875245532;-0.0115318058136438;0;0;1;1;2;2;1;3;3;3;0;5;5;3;3;5;0;3;0;0
195;-0.010275034161732;-0.000628671460472119;5;1;4;7;3;3;1;3;6;1;2;3;0;0;0;1;0;0;0;0
196;-0.0036586737874893397;-0.0104536453637144;1;0;1;2;2;7;1;4;6;4;0;5;2;4;0;0;1;0;0;0
197;0.0131346838042226;0.00999988210705673;0;0;0;0;0;0;0;0;1;2;0;0;0;1;10;7;4;6;9;0
198;-0.0116135413448841;0.00258833264985754;8;0;7;4;4;9;2;3;3;0;0;0;0;0;0;0;0;0;0;0
199;0.00473934077193396;-0.00836572790325445;0;0;0;0;0;1;0;1;5;4;0;5;8;3;7;3;2;0;1;0
200;-0.0158963329803834;0.0156614108186751;11;0;6;9;3;4;2;4;0;1;0;0;0;0;0;0;0;0;0;0
201;0.010819715073958;0.0033104561922313;0;0;1;0;0;0;0;0;0;0;1;2;2;2;3;5;4;13;7;0
202;-0.0147118638156412;0.011622132477963001;6;0;8;2;5;6;1;4;5;1;1;1;0;0;0;0;0;0;0;0
203;0.009892981988234609;0.000979397792938626;0;0;0;0;0;1;0;1;1;1;0;3;6;4;8;0;4;6;4;1
204;-0.0142046298008698;0.00999143804985686;10;0;9;9;3;5;1;0;3;0;0;0;0;0;0;0;0;0;0;0
205;0.00614986798551305;-0.00641761704114849;0;0;0;0;1;0;1;0;1;3;0;6;6;3;8;3;2;4;2;0
206;0.0026544537091188303;-0.0104037866264138;0;0;0;1;0;1;1;2;5;3;1;5;5;6;2;4;1;1;2;0
207;0.00781649163021785;-0.0035236703988156897;1;0;0;0;1;0;0;0;2;2;0;6;0;4;6;7;2;4;5;0
208;0.0055297616918692;-0.00733065232619529;0;0;0;0;0;0;0;1;3;0;5;8;0;1;6;4;7;3;2;0
209;0.00631868448311205;-0.0061536767031557;0;0;0;0;0;0;0;0;3;3;1;4;3;4;6;7;2;3;4;0
210;-0.000495205556135361;-0.0115790952619004;0;0;3;4;0;4;1;3;3;3;0;4;7;2;2;4;0;0;0;0
211;0.0119756416303085;0.00649597699470934;0;0;0;1;0;0;0;0;0;1;1;4;2;3;6;8;4;5;5;0
212;0.003998290576093039;-0.009205115188972591;0;0;0;0;0;0;0;1;5;2;2;5;5;1;5;6;1;2;4;1
213;-0.00699356968897855;-0.00676501399594669;2;0;9;4;5;6;2;5;4;0;0;0;2;0;0;0;1;0;0;0
214;0.0136948609430275;0.0118045524267552;0;0;0;1;0;0;0;0;1;1;0;2;4;0;5;5;3;11;7;0
215;-0.00642327411490885;-0.00757784139042869;0;0;2;4;3;9;6;4;2;1;2;2;0;3;0;2;0;0;0;0
216;-0.0161138705899118;0.0164384721663701;10;0;9;1;9;5;0;3;0;1;2;0;0;0;0;0;0;0;0;0
217;0.0113379349507244;0.0047004181819151;0;0;0;0;0;0;0;0;1;1;1;1;7;1;3;5;4;8;8;0
218;0.00337415193912085;-0.00981369644197903;0;0;1;0;0;1;0;6;1;4;0;6;6;3;2;5;3;2;0;0
219;-0.0145549113031254;0.0111112018688152;7;1;9;4;2;4;1;4;5;1;1;0;0;0;1;0;0;0;0;0
220;-0.00483038302744011;-0.009450301784742229;1;1;1;1;3;7;2;8;5;2;0;1;2;2;3;0;0;0;1;0
221;-0.00869321511378044;-0.00389709500601499;3;0;6;5;2;7;3;0;4;0;4;4;1;0;1;0;0;0;0;0
222;-0.00209844837122369;-0.0112975342676976;0;0;0;2;3;6;2;5;5;2;2;5;2;1;3;1;0;0;1;0
223;-0.00423029063315793;-0.0100037711917694;2;1;2;2;4;2;4;4;6;0;5;3;1;2;2;0;0;0;0;0
224;0.00662455619214848;-0.005658689816715279;0;0;0;1;0;0;2;2;0;1;0;6;5;4;9;5;1;2;1;1
