site;enviro;enviro2;sp_01;sp_02;sp_03;sp_04;sp_05;sp_06;sp_07;sp_08;sp_09;sp_10;sp_11;sp_12;sp_13;sp_14;sp_15;sp_16;sp_17;sp_18;sp_19;sp_20
17;-0.0163029835033711;0.0183233127900746;8;6;10;3;2;6;3;0;1;0;0;0;1;0;0;0;0;0;0;0
18;-0.0134091025193203;0.009149765436855471;6;3;4;4;7;6;6;0;0;3;0;0;0;1;0;0;0;0;0;0
19;0.0124905396079736;0.0051241500930865;0;0;0;0;0;0;1;1;0;2;1;4;2;4;4;3;4;4;2;8
20;-0.00412244936536012;-0.00844598054845166;3;0;0;3;5;1;3;3;5;5;2;6;1;1;0;1;1;0;0;0
21;-0.007978016756663;-0.0033330154935502;3;3;0;6;5;4;2;6;2;4;0;3;0;1;1;0;0;0;0;0
22;-0.00514252294923057;-0.00739605754872483;3;1;1;2;3;6;7;2;4;3;4;0;1;0;3;0;0;0;0;0
23;0.0155777296726116;0.0140132718517628;0;0;0;0;0;0;0;0;0;0;0;2;2;2;4;3;2;9;6;10
24;0.0128302169672857;0.00600449355689113;0;0;0;0;0;0;0;0;0;1;1;4;3;3;4;5;7;2;5;5
25;0.00829099982525879;-0.00376404855450135;0;0;0;0;0;0;0;1;1;0;8;4;5;6;1;5;3;3;1;2
26;0.00185209535654354;-0.010220167175103;1;0;1;0;0;1;2;1;10;7;3;3;3;3;1;1;2;0;0;1
27;0.000504011998398226;-0.010472813657683001;0;3;1;1;2;1;2;3;7;3;4;4;3;0;1;2;1;0;1;1
28;-0.009336341101223179;-0.000790238161816555;1;4;4;3;6;8;2;2;4;2;2;2;0;0;0;0;0;0;0;0
29;0.0172801611233079;0.0197688660267922;0;0;0;0;0;0;0;0;0;1;0;1;2;3;3;6;4;8;8;4
30;-0.00196156314537189;-0.00995045468129665;1;0;1;2;4;6;4;2;6;4;3;3;1;1;1;1;0;0;0;0
31;-0.00817928529483118;-0.00298062300953703;2;1;4;5;6;6;2;2;5;0;4;0;0;2;1;0;0;0;0;0
32;0.0120023126781728;0.00390112840892206;0;0;0;0;0;0;0;1;0;0;1;4;2;4;7;2;6;3;7;3
33;0.005780966576282329;-0.007313256206807191;0;0;0;0;1;1;0;1;2;2;3;5;8;3;2;1;6;2;1;2
34;0.0159551589319582;0.0152369301731605;0;0;0;0;0;0;0;1;1;2;2;1;1;1;3;3;3;6;9;7
35;-0.00987076015165673;0.000316093302209602;2;7;3;6;2;4;4;4;0;6;0;1;1;0;0;0;0;0;0;0
36;-0.0127008261605623;0.007171654712698659;1;8;7;9;4;6;0;2;2;1;0;0;0;0;0;0;0;0;0;0
37;0.00326384604289265;-0.009547674710167429;0;0;1;0;0;1;0;3;3;4;3;4;4;2;3;7;2;2;1;0
38;-0.00259873786050344;-0.009608480109151009;0;1;2;4;7;2;0;2;3;3;4;9;0;0;2;0;1;0;0;0
39;0.0122464234467968;0.004506393552718689;0;0;0;0;0;0;0;0;0;0;0;1;0;5;4;7;9;7;5;2
40;0.0053668956716910006;-0.007771992092859509;0;0;0;0;0;2;2;2;3;4;1;7;3;3;3;3;2;2;1;2
41;0.0019935429761965802;-0.0101715999091048;1;0;0;3;2;2;1;3;2;2;4;6;7;2;2;1;2;0;0;0
42;0.0163465071134863;0.0165372134680039;0;0;0;0;0;0;0;0;1;1;1;0;3;3;3;1;5;13;6;3
43;-0.0173938379276501;0.0222363868964977;9;8;10;4;3;2;1;1;2;0;0;0;0;0;0;0;0;0;0;0
44;0.0131991609414689;0.00698805917985703;0;0;0;0;0;0;1;0;0;3;2;2;2;3;4;8;2;5;5;3
45;0.00145585375122595;-0.0103339143012514;0;1;1;1;1;2;1;6;4;4;0;1;4;4;4;3;0;1;1;1
46;0.0170545711559591;0.0189713092336026;0;0;0;0;0;0;0;0;1;1;0;0;0;6;4;3;6;8;6;5
47;0.00815674401305365;-0.0039872812251488;0;0;0;1;0;0;1;0;0;3;4;5;5;3;5;3;1;6;1;2
48;-0.00637945826963144;-0.0058306410872533704;2;2;1;3;4;3;3;5;3;1;5;4;1;2;0;1;0;0;0;0
49;-0.0038807850650163203;-0.008662793025872209;0;1;4;4;0;3;7;2;3;3;4;2;3;1;1;0;1;1;0;0
50;0.0158601305230011;0.0149260302308785;0;0;0;0;0;0;0;0;0;0;3;1;2;2;1;5;9;4;5;8
51;-0.014666187447964;0.0129192802190243;7;6;5;5;3;2;4;2;3;0;2;1;0;0;0;0;0;0;0;0
52;0.00916107251520455;-0.0022258559366320303;0;0;0;0;0;0;0;0;0;3;3;4;6;7;7;4;2;1;1;2
53;-0.00504979531878695;-0.007500501397073421;2;2;3;2;2;2;0;2;7;3;5;2;3;2;2;1;0;0;0;0
54;0.0112332319908451;0.00207579787532316;0;0;0;0;0;0;0;0;2;1;0;4;4;5;6;3;5;5;2;3
55;0.0120066107988098;0.00391167755273585;0;0;0;0;0;0;0;1;2;0;0;2;3;4;3;5;4;3;7;6
56;-0.00878486997281094;-0.00186917461774377;3;5;8;3;5;4;1;2;2;4;1;1;0;1;0;0;0;0;0;0
57;-0.0141467855671941;0.0113216790516355;5;5;6;6;2;5;1;4;2;2;1;0;1;0;0;0;0;0;0;0
58;0.00331655738006848;-0.00951448364600626;0;0;0;0;2;3;3;2;4;1;2;4;3;3;7;3;0;0;3;0
59;-0.0152606888937908;0.0148172073147638;4;6;5;9;3;5;1;1;3;2;1;0;0;0;0;0;0;0;0;0
60;-0.00109499960346226;-0.010279116296376;0;1;0;0;2;0;4;4;5;5;3;4;1;4;2;4;0;1;0;0
61;0.0038548044989044398;-0.00914226066013393;0;0;0;0;1;0;2;3;1;2;1;8;6;3;4;2;2;1;3;1
62;0.00352932335295337;-0.00937459634681752;0;0;0;0;0;1;1;3;4;5;3;3;6;2;5;3;1;0;1;2
63;0.00156644896559123;-0.010305473723241998;0;0;0;2;0;3;1;5;5;3;1;3;5;6;3;0;2;0;0;1
64;-0.00609732671656046;-0.00621589850818845;2;5;1;6;2;5;3;3;4;4;2;3;0;0;0;0;0;0;0;0
65;0.00616421292196917;-0.00685667819975177;0;0;0;0;0;0;2;1;3;4;4;3;4;3;6;4;3;3;0;0
66;0.0030304086889199103;-0.009687671188407321;0;0;0;0;2;0;2;2;2;5;4;4;2;9;2;2;1;2;1;0
67;0.00756670406652528;-0.00492362196808732;0;0;0;0;0;0;0;1;1;1;4;1;7;3;6;5;7;0;3;1
68;0.0161479441256214;0.0158734655056521;0;0;0;0;0;0;0;0;0;1;1;2;1;2;3;5;6;3;10;6
69;-0.00257858485817299;-0.00962059818791361;0;1;1;0;1;6;4;3;6;4;3;4;4;0;2;0;1;0;0;0
70;-0.0010006748689766099;-0.0103054017213546;1;0;3;3;3;2;3;2;3;2;6;2;3;0;2;2;1;1;1;0
71;0.0009875314607732109;-0.0104259626765286;0;0;0;3;0;3;3;2;6;4;3;2;5;4;3;2;0;0;0;0
72;-0.00429682138583633;-0.008281945134872359;0;1;0;0;4;3;3;6;4;5;7;0;2;3;1;0;1;0;0;0
73;0.0160168282986793;0.0154397026368918;0;0;0;0;0;0;0;0;0;0;1;1;2;4;3;6;6;5;6;6
74;-0.00266679809605455;-0.009566926652826041;0;1;2;3;1;6;0;4;3;4;5;4;1;3;2;1;0;0;0;0
75;-0.0144626608257668;0.0122865325267092;7;4;9;4;5;7;2;0;1;1;0;0;0;0;0;0;0;0;0;0
76;-0.004111274633229;-0.00845627577398723;0;1;0;2;2;3;5;4;5;2;4;4;1;3;2;1;0;0;1;0
77;-0.007370808507364129;-0.0043447540571279;0;2;3;3;9;4;4;4;1;1;1;6;1;0;0;0;0;1;0;0
78;-0.00292568248584424;-0.00940000602013163;1;1;2;1;2;2;4;6;2;5;3;4;4;2;1;0;0;0;0;0
79;-0.0150818070309771;0.0142383488466629;8;5;8;6;4;1;2;5;0;0;1;0;0;0;0;0;0;0;0;0
80;-0.0106889003690877;0.00212562636200132;3;8;3;3;4;5;3;2;2;3;1;2;1;0;0;0;0;0;0;0
81;-0.0163221919583633;0.0183900615554594;7;6;5;6;5;7;1;2;0;1;0;0;0;0;0;0;0;0;0;0
82;-0.0160551244563076;0.0174689408688986;8;7;3;9;4;1;4;2;1;1;0;0;0;0;0;0;0;0;0;0
83;-0.00683341782997583;-0.00517576383434666;0;1;3;3;5;6;9;5;1;1;3;2;1;0;0;0;0;0;0;0
84;0.00620372438805574;-0.00680785766603593;0;1;0;0;1;0;2;1;1;2;2;4;6;4;7;3;2;3;0;1
85;-0.0018246046566894603;-0.0100128606885722;1;2;1;1;1;2;5;2;3;7;6;4;2;1;1;0;1;0;0;0
86;0.000713577561350361;-0.0104585183448175;0;0;0;0;2;3;3;2;5;5;4;2;3;0;6;3;1;1;0;0
87;-0.0074475242279477705;-0.00422119009128882;1;4;3;3;5;3;2;6;2;3;1;6;0;0;0;0;1;0;0;0
88;-0.0130521252145344;0.0081396514091072;6;3;5;9;4;0;4;2;3;2;0;1;0;1;0;0;0;0;0;0
89;-0.0112379513230764;0.0034185878857624103;3;4;7;0;6;7;5;2;1;3;2;0;0;0;0;0;0;0;0;0
90;0.000551551654404987;-0.0104703772185495;0;0;0;4;3;1;5;3;1;7;3;2;1;3;3;2;2;0;0;0
91;-0.00689071742860407;-0.00509003699426439;1;1;2;1;6;4;3;9;5;1;3;1;0;1;0;1;1;0;0;0
92;-0.00571692648265068;-0.00670895808154885;0;2;2;3;4;7;1;4;1;6;4;3;0;1;1;0;0;1;0;0
93;-0.0103695817962178;0.00140269284603708;2;5;6;7;5;5;3;2;2;0;1;1;0;0;1;0;0;0;0;0
94;0.00827576192428487;-0.0037895751141139;0;0;0;0;0;1;1;4;1;3;1;5;4;2;2;3;3;3;4;3
95;0.0102911723867256;8.68902224264399e-06;0;0;0;0;0;0;0;0;1;1;4;6;2;4;2;7;2;2;6;3
96;0.0169283839241428;0.0185298309325247;0;0;0;0;0;0;0;0;0;0;1;0;2;1;6;1;6;6;9;8
97;0.000508820239671897;-0.0104725887431321;0;0;0;0;1;1;4;1;3;6;4;7;4;1;4;2;1;1;0;0
98;0.00326206957246735;-0.00954878317687198;0;0;0;0;0;2;1;0;1;2;4;4;7;6;1;5;2;2;2;1
99;0.00406806722252843;-0.00897800010885601;0;0;0;2;1;0;2;4;3;3;5;4;6;3;4;3;0;0;0;0
100;-0.0021153938006137603;-0.009875677499280441;2;0;0;1;3;4;1;3;6;2;2;4;8;1;2;0;1;0;0;0
101;0.0122240025993385;0.00445028136495551;0;0;0;0;0;0;0;0;1;1;1;1;2;4;5;7;7;4;4;3
102;-0.0145241728835452;0.0124768539265072;6;4;8;4;5;2;5;3;2;0;1;0;0;0;0;0;0;0;0;0
103;-0.00989104253396539;0.000359258915784017;2;3;4;3;10;1;3;5;2;3;3;1;0;0;0;0;0;0;0;0
104;0.0037316582044506297;-0.00923277389928095;0;0;1;0;1;2;1;5;2;2;5;4;4;4;0;7;1;1;0;0
105;-0.00641933967475446;-0.00577483753655898;1;3;2;2;6;3;3;3;3;4;6;2;1;0;0;0;0;0;1;0
106;0.0103394372874152;0.000110077556301757;0;0;0;0;0;0;0;1;1;2;1;3;2;6;7;4;7;3;1;2
107;-0.00861526249989136;-0.0021882021880638898;3;3;1;3;4;3;4;2;7;5;2;1;0;1;0;1;0;0;0;0
108;0.0137226076580535;0.008432417987277679;0;0;0;0;0;0;0;1;2;2;2;2;1;0;6;4;3;4;6;7
109;0.00857395396148224;-0.0032812096271434;0;0;0;0;1;0;1;1;1;1;1;2;2;3;9;7;3;2;3;3
110;-0.0050060125048909;-0.007549190463441179;0;3;5;2;3;4;4;6;1;4;5;0;0;1;1;1;0;0;0;0
111;-0.0168792441147334;0.0203594079233678;10;7;4;6;2;4;1;5;0;1;0;0;0;0;0;0;0;0;0;0
112;0.0128826409136003;0.00614251301962702;0;0;0;0;0;0;0;1;0;2;0;4;4;1;7;6;5;6;4;0
113;0.0170641444485347;0.0190049383986181;0;0;0;0;0;0;0;0;2;0;0;0;4;3;3;1;5;7;7;8
114;0.00431670523335039;-0.00877446872540397;0;0;0;0;1;2;2;0;2;1;3;4;6;4;3;3;5;0;3;1
115;-0.0143748020842358;0.0120160671359139;6;8;1;5;5;8;1;2;2;1;0;1;0;0;0;0;0;0;0;0
116;-0.00593709794185857;-0.00642727406328512;0;3;5;6;3;3;3;4;4;2;2;2;1;0;2;0;0;0;0;0
117;0.0142569514109418;0.00996602156976894;0;0;0;0;0;0;0;0;0;0;0;1;3;6;2;8;3;5;6;6
118;0.0033840956115471603;-0.00947110616450467;0;0;0;0;1;1;2;4;0;4;3;3;6;4;5;2;3;0;1;1
119;0.008285591557187591;-0.0037731140608196797;0;0;0;1;0;0;0;2;0;2;2;1;1;2;10;6;4;3;2;4
120;0.00366431105762861;-0.0092809312847602;0;0;0;0;0;2;1;2;3;1;2;4;5;0;5;2;3;5;2;3
121;0.00276483190153631;-0.00983306732579326;0;1;0;0;1;0;4;3;2;9;2;5;1;3;4;1;2;1;1;0
122;-0.0169227441953484;0.0205159288191137;7;3;7;5;0;6;6;2;1;1;0;2;0;0;0;0;0;0;0;0
123;0.0133672698379855;0.00744567197559259;0;0;0;0;0;0;0;1;0;0;4;0;1;3;5;6;5;8;4;3
124;-0.0129402492812503;0.007828575435725509;8;6;7;4;4;1;3;0;5;0;1;1;0;0;0;0;0;0;0;0
125;-0.00206347061022676;-0.00990147137720097;0;1;3;1;0;2;4;4;5;7;3;4;3;1;0;0;0;1;1;0
126;-0.0104501736557249;0.00158313759391285;2;4;6;5;3;4;6;2;3;2;1;0;1;0;0;1;0;0;0;0
127;-0.00302939122026112;-0.00932920086796889;0;0;2;2;1;1;5;3;7;7;5;2;2;2;0;1;0;0;0;0
128;-0.0148169708566391;0.0133936468112068;10;4;4;4;6;4;1;2;0;2;2;1;0;0;0;0;0;0;0;0
129;0.009990173604212909;-0.0006126030859689269;0;0;0;0;0;1;0;1;2;0;1;2;4;4;4;6;4;7;3;1
130;0.0168984955058096;0.0184257517834187;0;0;0;0;0;0;0;0;0;0;0;1;1;1;2;6;5;3;13;8
131;0.0139713124688144;0.00913878048245723;0;0;0;0;0;1;0;0;1;1;1;2;3;5;4;4;2;5;2;9
132;-0.0121435587397579;0.00568912558320031;10;6;4;2;4;3;2;2;3;1;2;0;0;1;0;0;0;0;0;0
133;-0.0023401995355230303;-0.00975748765034803;1;1;2;4;9;3;0;3;5;4;3;2;0;1;1;1;0;0;0;0
134;-0.0141771019296041;0.0114133752207792;4;3;8;8;4;5;4;2;1;1;0;0;0;0;0;0;0;0;0;0
135;0.0025153758082376897;-0.00995618675173349;0;0;1;1;0;1;4;6;1;4;5;2;2;2;3;4;4;0;0;0
136;0.000355325665171286;-0.0104773793256161;0;0;0;0;1;2;4;4;7;3;4;7;3;0;0;3;2;0;0;0
137;0.012530789581285;0.00522720436144653;0;0;0;0;0;0;1;0;0;1;1;4;1;5;6;6;3;3;3;6
138;-0.00589930460257401;-0.00647634791883028;1;0;2;3;5;1;6;9;4;4;3;1;1;0;0;0;0;0;0;0
139;-0.006296567679624871;-0.0059455592470634795;0;1;1;4;3;6;13;5;4;1;0;0;1;1;0;0;0;0;0;0
140;0.0161929187349917;0.0160230815371234;0;0;0;0;0;0;0;0;0;1;2;4;0;1;3;3;6;6;5;9
141;0.009210846306690071;-0.0021330679590023604;0;0;0;0;0;0;0;2;2;2;0;5;5;5;5;3;2;6;1;2
142;-0.0104196807759832;0.00151470425797855;0;2;2;8;6;8;1;4;2;3;2;2;0;0;0;0;0;0;0;0
143;0.00437427831616441;-0.00872549452537557;0;0;0;1;0;0;1;3;3;4;2;5;9;1;6;2;3;0;0;0
144;-0.0009513707581102769;-0.0103183998727068;0;0;1;1;1;5;4;3;5;5;4;3;2;4;1;0;1;0;0;0
145;-0.016687740531866002;0.0196750562656669;8;11;6;2;4;5;0;1;2;1;0;0;0;0;0;0;0;0;0;0
146;0.0116744660843645;0.00310787474437956;0;0;0;0;0;0;0;0;1;1;1;0;4;3;2;8;3;5;5;7
147;0.0175599693531957;0.0207729129690015;0;0;0;0;0;0;0;0;0;0;0;0;4;0;4;6;5;5;5;11
148;-0.0132178215258403;0.00860519254453318;6;3;5;6;6;6;3;2;1;1;1;0;0;0;0;0;0;0;0;0
149;0.0172022866479912;0.01949234218859;0;0;0;0;0;0;0;0;0;0;2;3;2;2;3;5;3;6;5;9
150;-0.00248669372581536;-0.00967477475407591;1;1;0;2;2;3;6;5;1;2;5;5;3;0;2;0;1;1;0;0
151;0.000802454636528696;-0.0104496786656854;0;0;1;1;2;0;2;3;1;5;7;6;3;1;1;2;2;1;1;1
152;0.0017314899702391199;-0.0102582691809739;0;0;0;1;1;2;2;4;3;7;7;3;2;2;2;2;1;1;0;0
153;0.0020697222492545397;-0.0101437073861677;0;0;2;1;1;3;2;2;4;3;4;1;2;4;2;4;2;1;2;0
154;0.0081331203455299;-0.0040261707888491;0;0;0;0;0;1;0;0;1;3;2;4;6;3;4;3;4;5;2;2
155;-0.011630204487286001;0.0043809625192833;3;7;1;3;4;3;7;1;5;3;2;1;0;0;0;0;0;0;0;0
156;0.0102108350672752;-0.000158991350082029;0;0;0;0;0;1;0;1;2;5;0;0;3;5;5;5;4;3;3;3
157;-0.0126148239601957;0.00693861504645848;3;7;5;3;5;4;5;2;3;1;0;1;1;0;0;0;0;0;0;0
158;0.009194184259755671;-0.0021641869997268103;0;0;0;1;0;0;0;0;1;2;3;4;4;2;5;6;4;2;3;3
159;0.0116355312167868;0.0030151635202457;0;0;0;0;0;0;0;0;2;2;2;3;2;2;5;2;4;5;4;7
160;-0.00396700189394192;-0.00858684555001774;1;2;2;2;4;2;3;4;3;3;7;4;0;2;1;0;0;0;0;0
161;0.0016428811353398599;-0.0102843218755544;0;0;0;0;1;1;1;1;2;7;3;3;7;7;2;4;0;1;0;0
162;0.0171114061609705;0.0191712410742285;0;0;0;0;0;0;0;0;0;0;0;1;1;3;4;1;2;10;12;6
163;-0.00175352661477221;-0.0100436997377975;1;0;2;0;5;4;3;3;9;3;2;4;4;0;0;0;0;0;0;0
164;-0.01054400318374;0.0017949348437382;0;7;1;4;7;7;3;3;3;2;0;2;0;0;1;0;0;0;0;0
165;0.0022246439756715896;-0.0100832354851325;0;0;0;0;1;2;2;1;5;4;6;5;7;3;1;1;2;0;0;0
166;0.00428727519852714;-0.00879923513617598;0;0;0;0;2;3;2;2;4;4;3;3;1;7;3;3;1;1;1;0
167;0.0145324315679885;0.0107800252434196;0;0;0;0;0;0;0;0;1;0;0;2;1;4;3;5;9;3;7;5
168;-0.00419292297064333;-0.00838045114100095;1;2;1;3;3;4;4;2;6;3;4;4;3;0;0;0;0;0;0;0
169;0.0039756717584768205;-0.00905033471711345;0;1;1;0;1;1;1;1;3;3;3;5;3;2;5;6;2;1;1;0
170;0.0030199959666253697;-0.00969365004410394;0;0;0;0;1;0;5;4;2;5;3;3;3;3;5;3;2;0;1;0
171;-0.012746946485093;0.0072972646550198295;5;8;3;3;4;4;2;4;2;2;1;1;0;1;0;0;0;0;0;0
172;0.0163654857449773;0.0166010866849728;0;0;0;0;0;0;0;0;1;0;1;0;2;4;2;3;8;2;5;12
173;-0.00695397534395411;-0.00499459739197126;1;6;3;2;3;3;4;4;6;2;1;1;0;3;1;0;0;0;0;0
174;-8.94775385992206e-05;-0.0104633996419691;0;0;1;0;1;1;3;2;3;7;7;5;4;1;2;1;1;1;0;0
175;0.0141315463552931;0.009600731281429629;0;0;0;0;0;0;0;0;1;0;0;1;4;2;3;6;8;6;3;6
176;-0.0049587488105061394;-0.00760129994914422;0;3;3;0;2;5;2;7;3;4;5;1;0;3;1;1;0;0;0;0
177;0.0177160901339752;0.0213402526593769;0;0;0;0;0;0;0;0;0;0;0;1;2;3;5;4;5;8;9;3
178;-0.00941883843126023;-0.000623359006319871;3;3;6;5;2;2;5;5;1;3;2;0;1;1;0;0;1;0;0;0
179;-0.005833311614138879;-0.00656132134860267;2;1;3;2;3;4;5;4;5;3;1;1;4;1;0;1;0;0;0;0
180;-0.00262281251226094;-0.00959389245127845;0;0;1;4;2;3;5;2;5;3;4;4;1;4;1;0;1;0;0;0
181;0.0134193144392641;0.00758854326862342;0;0;0;0;0;0;0;0;1;0;4;5;0;3;7;5;6;0;5;4
182;-0.00495487787419878;-0.0076055470365415795;0;1;5;4;4;2;6;1;6;0;2;1;3;3;1;1;0;0;0;0
183;-0.0163339944645777;0.0184311132054913;3;8;10;9;6;1;0;1;1;1;0;0;0;0;0;0;0;0;0;0
184;0.0144072528178816;0.0104081705033471;0;0;0;0;0;1;1;0;0;0;0;3;2;4;3;5;2;3;9;7
185;-0.0123259728898622;0.00616725304747686;3;2;5;6;9;4;3;6;1;0;1;0;0;0;0;0;0;0;0;0
186;-0.0121090273829546;0.00559939943289367;5;3;5;6;4;7;3;4;2;0;0;1;0;0;0;0;0;0;0;0
187;-0.0172100597672209;0.0215596916218452;8;7;8;5;3;4;1;0;2;0;1;0;1;0;0;0;0;0;0;0
188;0.0144238587921759;0.0104573112828165;0;0;0;0;0;0;0;0;0;0;1;1;1;4;5;4;8;6;8;2
189;0.000708924985653337;-0.0104589355295753;0;1;1;5;1;2;2;3;7;2;1;3;2;5;1;3;0;0;1;0
190;0.0141281620204944;0.00959091874243153;0;0;0;0;0;0;0;0;0;1;1;2;4;3;5;2;6;6;3;7
191;-0.00668320871579386;-0.005397230752766429;1;3;3;6;5;2;2;2;3;5;0;2;3;0;1;2;0;0;0;0
192;-0.000446186916914606;-0.0104222554971539;1;1;1;0;3;1;2;3;5;3;3;3;4;2;2;2;4;0;0;0
193;-0.005388581825062079;-0.0071101813585467;1;3;3;3;2;6;2;6;1;4;4;2;2;1;0;0;0;0;0;0
194;-0.00980632250594685;0.00017952659621927;3;4;4;7;5;3;3;4;1;2;3;1;0;0;0;0;0;0;0;0
195;-0.0163730591663303;0.0185671966649858;5;2;9;6;8;2;2;1;0;4;1;0;0;0;0;0;0;0;0;0
196;0.0166199944043109;0.0174649313739274;0;0;0;0;0;0;0;0;0;0;0;1;1;4;8;5;6;6;4;5
197;-0.0169686893816536;0.0206816778867274;8;10;4;4;4;3;2;2;3;0;0;0;0;0;0;0;0;0;0;0
198;-0.0127835228746674;0.00739719811134137;2;5;5;8;7;0;4;2;3;1;2;1;0;0;0;0;0;0;0;0
199;-0.00300498787052233;-0.00934606440642353;0;2;2;3;2;5;5;3;5;5;2;2;1;1;1;1;0;0;0;0
200;0.00722610628184578;-0.005430934626946739;0;0;0;0;1;1;1;2;2;0;3;4;4;3;6;2;4;4;1;2
201;0.0108777708687757;0.00127399901013716;0;1;0;0;0;1;0;1;2;1;1;3;3;0;5;10;3;3;5;1
202;-0.00994959734217737;0.00048436043310775195;1;3;2;3;8;5;5;2;5;1;2;0;0;2;0;1;0;0;0;0
203;-0.0062627886045918705;-0.005991977400948039;2;2;3;4;2;1;4;5;4;3;3;0;3;3;1;0;0;0;0;0
204;0.0174734966133654;0.0204608690913832;0;0;0;0;0;0;0;0;0;1;2;0;3;3;4;4;5;7;4;7
205;-0.0126383171824437;0.00700212074615735;6;5;2;6;7;6;2;1;1;2;1;1;0;0;0;0;0;0;0;0
206;0.00847281940718337;-0.00345571293579854;0;1;0;0;1;0;0;2;2;0;1;3;7;3;5;3;6;3;2;1
207;-0.00121548592418131;-0.0102428307308251;0;0;2;2;1;2;5;3;5;5;1;3;3;1;2;1;2;2;0;0
208;-0.0113798958503728;0.0037631222655647705;4;5;8;4;5;5;3;3;1;0;1;0;0;1;0;0;0;0;0;0
209;-0.0168451874842611;0.020237142746451;10;6;7;3;3;8;1;0;0;1;1;0;0;0;0;0;0;0;0;0
210;0.00532819649088029;-0.00781303121991136;0;0;0;1;0;1;0;1;1;1;3;5;3;4;7;1;5;3;3;1
211;-0.0100306389637163;0.000658689139982826;4;3;3;2;9;8;3;6;1;0;0;0;0;1;0;0;0;0;0;0
212;0.0090471942518919;-0.00243619590609235;0;0;0;0;0;1;0;1;3;1;2;2;4;5;2;5;3;6;2;3
213;-0.009354999986535809;-0.000752618872631337;2;2;5;6;2;6;6;4;3;1;1;1;0;0;1;0;0;0;0;0
214;-0.00895022839484714;-0.00155234039078182;1;3;3;5;6;4;5;4;3;2;2;2;0;0;0;0;0;0;0;0
215;-0.0154646655670541;0.0154854482399333;7;9;3;5;6;2;2;3;2;0;1;0;0;0;0;0;0;0;0;0
216;-0.0107760686656568;0.00232668401437307;7;4;7;7;4;4;3;2;2;0;0;0;0;0;0;0;0;0;0;0
217;-0.006494176582022;-0.0056692241152969895;1;2;2;4;3;4;3;4;6;4;5;1;1;0;0;0;0;0;0;0
218;0.0149725439196722;0.0121134659197917;0;0;0;0;0;0;0;0;1;1;3;3;1;1;7;1;7;4;7;4
219;0.0129905324357395;0.006428375962062;0;0;0;0;0;0;0;0;1;0;1;1;1;4;4;6;8;4;4;6
220;0.0177990576483769;0.0216438316886374;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;6;6;7;7;6
221;-0.00284451957728543;-0.00945384751623397;2;1;3;2;1;2;5;3;2;4;5;4;2;1;0;2;0;0;0;1
222;0.00167353494933917;-0.0102754950629566;0;0;0;0;2;0;3;3;7;3;7;0;5;2;4;1;1;1;0;1
223;-0.00640832254885837;-0.0057902864036322105;0;1;3;6;3;2;6;4;3;3;0;4;2;2;0;0;1;0;0;0
224;0.0173726569895919;0.020098958690745;0;0;0;0;0;0;0;0;0;0;0;2;3;3;3;4;7;7;8;3
225;-0.00108418836903338;-0.0102822235852919;0;1;2;2;2;3;4;3;4;5;2;3;0;1;3;3;2;0;0;0
