site;enviro;enviro2;sp_01;sp_02;sp_03;sp_04;sp_05;sp_06;sp_07;sp_08;sp_09;sp_10
52;0.0174269164261565;0.007613935876279591;0;0;0;1;1;1;0;6;4;7
53;-0.0210506081138463;0.0197206058666205;6;8;3;0;1;0;2;0;0;0
54;-0.00234947752382696;-0.0151953764475852;0;1;1;2;9;4;2;0;0;1
55;-0.00734015013670565;-0.0112487172233828;0;2;4;2;6;4;0;1;1;0
56;0.00298995315233798;-0.015088126609988001;0;0;1;3;5;4;4;0;1;2
57;0.0109669232448485;-0.00658947455314422;0;0;0;0;6;4;4;1;1;4
58;-0.0014586022810613901;-0.0154885784199403;0;0;2;2;9;4;2;1;0;0
59;-0.008003944695343209;-0.0104291486716172;0;3;7;4;5;0;1;0;0;0
60;-0.00193306783274583;-0.0153479328858322;0;3;4;5;1;3;4;0;0;0
61;-0.015098749459391;0.00265159454443475;0;8;5;3;1;3;0;0;0;0
62;-0.0200003054154979;0.0163043825261821;6;8;4;0;1;0;1;0;0;0
63;-0.000839289754179226;-0.0156189869915342;0;1;1;2;9;4;0;2;0;1
64;0.0243253821381568;0.0300152289265029;0;0;0;0;0;0;0;1;6;13
65;0.00832666138145189;-0.0105084679241741;0;0;0;2;3;6;6;0;3;0
66;-0.0102319142641879;-0.00717259244096437;0;4;6;6;1;0;3;0;0;0
67;-0.00786232090044563;-0.0106098126809898;0;0;5;6;3;4;2;0;0;0
68;0.0159127540979436;0.0036969327240535;0;0;0;0;1;2;5;0;6;6
69;0.0019107380039015398;-0.0154707139876431;0;0;4;3;1;4;6;0;1;1
70;-0.0113641733704785;-0.00521894554811273;3;4;4;1;4;0;4;0;0;0
71;0.01453949262868;0.00045568725432473605;0;0;0;0;1;4;0;3;7;5
72;-0.00677431813171962;-0.0118927181550868;0;5;2;3;6;1;3;0;0;0
73;-0.0180483950816917;0.0104155854788512;3;5;7;2;2;0;1;0;0;0
74;0.0180902220367789;0.009443225342061809;0;0;1;0;0;1;0;5;3;10
75;0.00666880875931911;-0.0124099024394218;0;0;1;0;5;5;5;0;2;2
76;-0.0165786405475397;0.006376191237904271;2;8;3;2;2;3;0;0;0;0
77;0.00927337136260048;-0.009229103601429759;0;0;1;1;1;5;0;6;4;2
78;-0.00606766986395709;-0.0126264037519188;0;1;2;7;4;2;3;1;0;0
79;0.00196090320955892;-0.0154569824297943;0;1;4;2;2;4;6;0;0;1
80;-0.00915841247191606;-0.0088389822979552;0;2;5;6;2;2;2;1;0;0
81;-0.0144300117142702;0.00108130381251915;0;4;11;1;1;2;1;0;0;0
82;0.0243521997977012;0.0301168922025905;0;0;0;0;0;0;1;6;5;8
83;-0.0170018566056407;0.00750456772842315;2;7;9;1;1;0;0;0;0;0
84;-0.00424287736074915;-0.0141584047985277;0;3;2;3;4;6;1;1;0;0
85;-0.0176328094870172;0.00923902258793919;6;7;7;0;0;0;0;0;0;0
86;-0.0159672409353122;0.0047957357583006295;0;4;8;6;0;1;0;1;0;0
87;-0.0199541032383637;0.0161580817237053;5;9;4;0;0;2;0;0;0;0
88;-0.0176434557639839;0.00926882481174177;0;7;4;4;4;1;0;0;0;0
89;0.00982578609907641;-0.00841757442800496;0;0;0;1;3;5;6;0;2;3
90;0.0214241784790309;0.0196838577555684;0;0;0;0;0;2;2;3;7;6
91;0.017168820219254;0.00692081598816312;0;0;0;0;0;3;1;4;7;5
92;-0.0205128230518277;0.0179497656908231;7;7;4;0;2;0;0;0;0;0
93;-0.0103784717106648;-0.006931056121017429;3;6;6;1;1;3;0;0;0;0
94;-0.0201417881355767;0.0167544769370103;5;7;6;0;2;0;0;0;0;0
95;-0.008322551443815891;-0.0100112039619869;0;2;3;9;3;1;1;0;0;1
96;0.007477449887166991;-0.011536356008749;0;0;2;2;1;3;1;4;6;1
97;0.00230756241082792;-0.0153512941185711;1;1;1;3;5;4;4;0;1;0
98;-0.0112466398930262;-0.00543110470745299;0;3;6;5;3;2;1;0;0;0
99;-0.00144635666896405;-0.0154917405246278;0;0;3;6;3;3;1;1;2;1
100;-0.0115141648091085;-0.00494504681711275;0;3;7;5;2;3;0;0;0;0
101;0.011485686881201;-0.005690821629803121;0;0;0;0;3;6;1;4;5;1
102;0.0094682877072319;-0.00894823015283478;0;0;0;0;2;5;0;6;6;1
103;-0.007250539555673271;-0.0113540572504556;0;2;5;3;5;2;2;1;0;0
104;-0.0020268777733619;-0.0153159401373763;0;1;5;5;3;2;2;0;2;0
105;-0.0179034478392079;0.0100021465134146;2;7;7;1;2;1;0;0;0;0
106;0.006601679614097879;-0.0124778048020708;0;0;0;3;4;5;6;0;2;0
107;-0.0188801491645381;0.0128518016846393;4;7;6;1;2;0;0;0;0;0
108;-0.0247955688266514;0.0333111709778436;12;5;1;0;2;0;0;0;0;0
109;-0.0105744148670073;-0.00660286084175545;1;3;3;3;3;5;2;0;0;0
110;0.0010138951060688901;-0.0156495340564317;0;2;1;2;3;6;5;0;1;0
111;0.0115540322950495;-0.0055692772125779605;0;0;0;0;3;4;5;0;5;3
112;0.0174625637198856;0.00771048899846938;0;0;1;0;0;4;3;2;8;2
113;-0.0022485347327304;-0.01523485769207;0;1;3;0;8;5;2;1;0;0
114;-1.8651501716905e-05;-0.015699029169842;0;0;1;2;8;6;2;1;0;0
115;0.0199685653672996;0.0149981490213923;0;0;0;0;0;2;2;3;10;3
116;-0.00513635470430325;-0.0134736065814605;0;1;3;7;5;3;1;0;0;0
117;0.0156007365016366;0.0029344992156032;0;0;0;0;2;7;3;0;4;4
118;0.0145217966822495;0.000415852507562295;0;0;0;2;1;1;7;0;5;4
119;-0.0191226897209406;0.0135826589180155;3;7;7;1;2;0;0;0;0;0
120;-0.0195283520789935;0.0148256988447251;2;8;7;0;3;0;0;0;0;0
121;-0.0109217595141889;-0.00600626218397588;0;5;7;5;2;0;1;0;0;0
122;0.00113141442036098;-0.0156332913618825;0;0;2;2;6;4;2;1;3;0
123;0.0160625622854647;0.00406842883147978;0;0;0;1;2;2;2;3;8;2
124;-0.0187709912185734;0.0125258852426594;3;8;8;1;0;0;0;0;0;0
125;0.00285398987724595;-0.0151463934912072;0;0;1;1;6;7;3;1;1;0
126;0.017219207871203;0.007055310963439741;0;0;0;1;2;1;0;4;7;5
127;-0.0146702806900195;0.00163740811978357;1;6;4;5;2;1;1;0;0;0
128;0.0171228383076792;0.00679842868258884;0;0;0;0;0;3;2;1;7;7
129;0.012331440290880999;-0.00413513482371377;0;0;0;0;2;2;2;2;8;4
130;0.024692264998154998;0.0314158417845324;0;0;0;0;0;1;0;4;7;8
131;-0.0106194931550452;-0.00652650402778465;1;4;6;2;3;3;1;0;0;0
132;-0.0163286739829611;0.00572294078331131;0;10;3;2;3;2;0;0;0;0
133;0.0213905754246154;0.0195719364990066;0;0;0;0;0;0;0;6;7;7
134;0.00813658020745825;-0.0107483776254303;0;1;1;3;2;3;0;6;4;0
135;-0.020454253941964002;0.0177596487580746;5;6;6;0;3;0;0;0;0;0
136;-0.00270490220167322;-0.0150436282610354;0;1;2;3;6;2;4;0;2;0
137;0.00382387692460203;-0.0146672594904739;0;1;1;1;2;8;1;2;3;1
138;0.0243879890246224;0.0302527417507996;0;0;0;0;0;0;0;6;7;7
139;-0.0162742841653042;0.00558210052959946;3;7;4;0;1;4;1;0;0;0
140;0.008638393452626191;-0.0101027377865394;0;0;0;3;7;3;0;4;1;2
141;-0.0231829763169098;0.0271891017667871;5;8;5;0;2;0;0;0;0;0
142;-0.0130942756828076;-0.00184501859326877;0;9;4;3;2;0;1;1;0;0
143;-0.0120799228779907;-0.0038801313001472397;0;7;4;4;3;2;0;0;0;0
144;0.0233915201615975;0.026545468183562;0;0;0;0;0;0;0;3;8;9
145;-0.0115208333492087;-0.00493278741783036;0;6;9;2;2;0;1;0;0;0
146;0.0214766671505302;0.0198590358118412;0;0;0;0;1;0;0;8;6;5
147;0.0243667107150466;0.0301719488295983;0;0;0;0;0;1;0;3;6;10
148;-0.0143917781184619;0.000993647734387906;0;5;3;8;3;0;1;0;0;0
149;0.00124805204603501;-0.015615026626598997;0;1;2;2;4;5;2;1;2;1
150;0.00777753003900609;-0.0111860732971747;0;0;0;1;2;6;2;1;5;3
151;0.00855107306966887;-0.0102179265296684;0;1;0;3;4;4;0;3;4;1
152;-0.0243155204147496;0.031446030806508;6;6;7;0;1;0;0;0;0;0
153;0.0200386448808935;0.0152161173441085;0;0;0;0;0;0;0;5;8;7
154;0.0173410886384448;0.0073822838857503705;0;0;0;0;0;2;1;2;5;10
155;0.00929065511583211;-0.00920443880360523;0;0;1;2;3;6;0;7;1;0
156;-0.00461802357211876;-0.0138861410828991;0;1;6;4;5;3;1;0;0;0
157;0.0204182720679008;0.0164102731117149;0;0;0;0;1;3;0;4;6;6
158;0.0198611946822293;0.0146656895821533;0;0;0;0;0;2;0;1;7;10
159;0.006670899826378429;-0.0124077759245696;0;0;1;1;3;5;3;0;5;2
160;0.0052818500990387;-0.0136691419714749;0;0;0;2;4;6;4;0;4;0
161;-0.019154805736338;0.0136801278234227;0;11;4;4;1;0;0;0;0;0
162;0.0154111215171649;0.00247863025907762;0;0;0;0;0;7;0;8;3;2
163;0.0228146749946389;0.0244706087903578;0;0;0;0;1;2;0;3;8;6
164;0.0151770775808893;0.0019237294740419898;0;0;0;0;1;3;0;8;5;3
165;0.012754003115268999;-0.0033157982465312;0;0;0;1;0;4;0;5;7;3
166;0.00903231074623659;-0.009568220803132759;0;0;0;0;6;3;6;0;3;2
167;-0.00395864416116332;-0.0143499761492404;0;1;4;7;1;3;2;1;1;0
168;-0.00117379143101521;-0.0155560295005063;0;0;4;3;6;6;1;0;0;0
169;0.0032210117357274;-0.0149824498431014;0;0;2;4;3;4;4;0;2;1
170;-0.0009391112196999381;-0.0156020382219157;0;0;5;5;2;4;3;0;0;1
171;-0.0188638277638194;0.0128029514037327;0;7;6;3;4;0;0;0;0;0
172;-0.00684346438469706;-0.0118167153761436;0;5;2;3;3;6;1;0;0;0
173;0.0047781007695982605;-0.0140517382116761;0;0;0;3;3;6;4;0;4;0
174;-0.0148361958357191;0.00202671009332783;0;5;5;8;2;0;0;0;0;0
175;0.0100866460709468;-0.00801770261789865;0;0;0;0;5;4;2;3;3;3
176;-0.0147416933154119;0.00180444037599327;0;7;5;5;3;0;0;0;0;0
177;0.0156204125181736;0.00298212719907869;0;0;0;0;3;4;3;0;6;4
178;0.00571047521995452;-0.0133122314524541;0;0;1;2;4;8;1;3;1;0
179;-0.008598274138506;-0.00963665057409292;0;2;4;8;3;0;2;1;0;0
180;0.016189190100881;0.00438518976486489;0;0;0;0;3;4;3;0;8;2
181;-0.0151940059098839;0.00288098288041016;3;5;5;1;5;0;0;1;0;0
182;-0.0115754865946845;-0.00483205017758371;0;2;3;4;4;4;1;2;0;0
183;-0.012235485426403;-0.0035785106025731203;0;3;6;7;4;0;0;0;0;0
184;-0.0144539728465276;0.00113635517479812;3;6;7;0;3;1;0;0;0;0
185;-0.0211184906904688;0.0199473597245274;6;4;7;0;2;1;0;0;0;0
186;0.0136890049188295;-0.0014032183101172;0;0;0;0;2;6;1;3;5;3
187;0.00652605660946398;-0.0125534514452689;0;0;1;2;4;5;5;0;2;1
188;-0.0186622177426684;0.0122029775353175;4;9;6;0;1;0;0;0;0;0
189;0.0104008834091169;-0.0075218227886816;0;0;0;1;1;5;4;1;5;3
190;-0.0175998903009633;0.009146984176306541;5;3;9;0;2;1;0;0;0;0
191;0.0129127172510049;-0.00300081433337651;0;0;1;0;3;2;0;8;3;3
192;0.0042305028763293;-0.0144224447428426;0;1;1;5;2;6;3;0;1;1
193;-0.0065944262088861606;-0.0120869314067634;0;1;4;6;6;2;1;0;0;0
194;-0.00419350132498312;-0.0141925942181864;0;4;3;5;4;1;3;0;0;0
195;0.00491770778152954;-0.0139496976610537;1;1;1;3;3;5;1;3;2;0
196;0.004965768081757371;-0.0139138617713045;0;1;1;2;2;3;9;0;0;2
197;0.0139979353406125;-0.00074112406525224;0;0;0;2;1;2;5;1;6;3
198;-0.0103412886362312;-0.00699265551750005;2;2;3;2;5;2;3;0;1;0
199;0.0128987474800534;-0.0030286974534037103;0;0;1;2;2;3;5;0;5;2
200;0.0195031899661093;0.0135702525824785;0;0;0;0;1;0;1;3;4;11
201;-0.0155548741130747;0.0037629152966493296;0;4;4;6;4;2;0;0;0;0
202;0.0240244949529811;0.0288823334184518;0;0;0;0;1;0;2;2;5;10
203;0.00410644623706193;-0.0144998864683517;0;0;1;1;2;4;6;1;4;1
204;-0.0165127005393884;0.0062029142778855795;4;9;6;0;1;0;0;0;0;0
205;0.0169727404075555;0.00640123236429406;0;0;0;1;1;1;4;1;7;5
206;0.000570332804245738;-0.015691303936790003;0;0;1;5;7;5;2;0;0;0
207;0.0029826178185458603;-0.0150913442227788;0;1;1;4;5;4;4;1;0;0
208;0.0128883816127783;-0.00304936751979192;0;1;0;2;2;2;3;0;5;5
209;0.0104003584442204;-0.007522664133216809;0;0;0;0;4;4;0;5;3;4
210;0.00280857814596352;-0.015165208074673999;0;1;1;2;3;4;3;0;4;2
211;-0.0246090672782881;0.0325822558431832;14;1;5;0;0;0;0;0;0;0
212;-0.0221912040320269;0.0236266789420758;4;10;3;0;2;1;0;0;0;0
213;0.0024051229673639697;-0.0153181482024152;0;0;2;1;5;3;8;0;1;0
214;0.0119559821072001;-0.00483961704642346;0;0;0;0;0;5;2;4;6;3
215;-0.01619394392357;0.00537491237511961;2;10;4;2;2;0;0;0;0;0
216;-0.0172953295214757;0.008303534127257041;6;3;7;0;4;0;0;0;0;0
217;0.0214156312264765;0.0196553727215678;0;0;0;1;0;1;0;7;6;5
218;-0.00326494111457091;-0.0147642746447582;0;1;2;3;3;6;3;1;1;0
219;0.00702325868463752;-0.0120396399671352;0;0;0;2;4;5;2;2;4;1
220;-0.00897154621927905;-0.00911056567585248;1;3;6;3;6;1;0;0;0;0
221;0.00154148691505159;-0.0155596308874096;0;1;3;2;5;5;3;0;1;0
222;-0.023729245773035;0.0292172418041543;8;5;6;0;1;0;0;0;0;0
223;0.00343624980244256;-0.0148764682054448;0;0;1;4;4;7;3;0;1;0
224;-0.0186145489186828;0.0120620520452465;0;6;8;6;0;0;0;0;0;0
225;-0.0174322977081589;0.008681051653129379;0;4;7;3;6;0;0;0;0;0
226;-0.0181215765941491;0.0106255771732439;7;3;6;0;3;1;0;0;0;0
227;0.0174474259000094;0.007669462811438759;0;0;0;0;2;1;0;9;3;5
228;0.0012167756705616;-0.015620133888239;0;2;2;2;4;3;6;0;0;1
229;-0.0226478958152977;0.0252479227996935;5;8;4;2;1;0;0;0;0;0
230;-0.007820211818595341;-0.0106629222856948;0;2;4;5;2;6;1;0;0;0
231;0.0217539327365039;0.0207915715085128;0;0;0;1;0;0;0;3;7;9
232;0.0203125062045908;0.0160753021646043;0;0;0;0;0;3;2;2;7;6
233;-0.00629450064544614;-0.0123994376414758;0;1;2;5;3;4;5;0;0;0
234;0.0105199636173335;-0.00732985871042595;0;0;0;0;5;6;0;3;4;2
235;-0.0224302104565862;0.024471061368605;9;4;5;0;1;1;0;0;0;0
236;-0.007956041291842759;-0.0104906096139254;2;3;5;1;2;4;3;0;0;0
237;-0.00304148205836876;-0.01488164248301;0;3;3;5;4;3;1;1;0;0
238;-0.0073173006211256705;-0.0112756972856746;0;5;3;4;5;3;0;0;0;0
239;0.008638309378437221;-0.0101028492687938;0;0;0;0;2;2;7;0;4;5
240;0.00326474984778614;-0.0149615023399356;0;0;1;4;3;6;2;1;3;0
241;-0.0038029341233314705;-0.0144495463139386;0;1;1;1;6;7;2;1;1;0
242;0.0237080355762192;0.0277061415387269;0;0;0;0;0;1;0;6;7;6
243;0.0199895874292334;0.0150634529898922;0;0;0;0;0;1;0;7;5;7
244;-0.0138050840337736;-0.000322653118518576;1;3;5;3;5;3;0;0;0;0
245;-0.0139861884785507;7.79049569844476e-05;3;6;4;1;3;3;0;0;0;0
246;0.0145358344966878;0.00044744852601937403;0;0;0;0;2;3;4;0;7;4
247;0.00281575053961595;-0.0151622580019917;0;0;3;3;3;7;2;0;1;1
248;0.0211691643776098;0.0188389178360181;0;0;0;0;0;1;0;6;5;8
249;0.0023836528809441;-0.0153255708419192;0;0;0;3;4;8;0;3;2;0
250;0.0226472396581507;0.0238781415168977;0;0;0;0;1;2;1;0;10;6
251;-0.0039533376275643;-0.0143534321102143;0;2;3;3;6;5;0;0;0;1
252;-0.00422319214569789;-0.0141720813003072;0;1;4;2;4;6;3;0;0;0
253;-0.00606619458697365;-0.0126278534697524;1;3;6;1;5;3;0;0;1;0
254;0.00870607899776773;-0.0100126267777844;0;1;2;1;3;3;5;0;4;1
255;0.0192172019846204;0.0127096325598849;0;0;0;0;1;2;2;2;6;7
256;-0.0037453016379797;-0.0144854347476353;0;1;2;3;7;5;1;0;0;1
257;0.0145397456980206;0.00045625728672737004;0;0;0;0;2;3;0;4;6;5
258;-0.0119686310854952;-0.0040935840033247;2;5;7;3;1;2;0;0;0;0
259;0.0216928532558029;0.0205851045204456;0;0;0;0;2;1;0;4;10;3
260;0.007257569470625759;-0.0117840471758798;0;1;2;1;1;7;6;0;1;1
261;0.00792685278160331;-0.0110065015834831;0;0;0;3;3;6;0;3;5;0
262;-0.0153033053250551;0.0031459433156017;0;8;4;3;4;0;1;0;0;0
263;-0.000804773007739552;-0.0156244836293654;0;2;4;3;4;3;3;0;0;1
264;-0.0013749382553513699;-0.0155097133985441;0;1;1;6;6;4;1;1;0;0
265;-0.008707539415937429;-0.009484917906163891;1;2;5;6;4;1;1;0;0;0
266;0.00945027795574705;-0.00897443221033193;0;0;0;3;3;4;4;0;3;3
267;-0.0206115604150165;0.0182714891071733;7;5;6;0;1;1;0;0;0;0
268;-0.0189409764458715;0.0130342273336686;8;6;5;0;1;0;0;0;0;0
269;0.0225444362268386;0.0235165540040518;0;0;0;0;0;3;1;1;7;8
270;-0.0124167621722291;-0.00322223938689378;1;5;7;3;4;0;0;0;0;0
271;0.011810527890860999;-0.0051065889643327;0;0;0;0;2;3;3;0;9;3
272;0.0202515106240841;0.015882921589937;0;0;0;0;0;1;0;5;5;9
273;-0.0235635156995878;0.0285969834884175;11;3;5;0;1;0;0;0;0;0
274;-0.0168951404418434;0.007217390313432009;2;4;8;2;4;0;0;0;0;0
275;0.0169140321600128;0.0062468380421391604;0;0;0;0;2;1;1;1;12;3
276;-0.0116138379964342;-0.00476108061688278;1;6;5;3;5;0;0;0;0;0
277;0.0136354134695784;-0.001516549494571;0;0;0;0;2;2;0;8;7;1
278;0.0156677025095243;0.00309684646521897;0;0;0;0;2;4;0;6;1;7
279;-0.0236794054268887;0.0290302568402826;4;7;7;1;1;0;0;0;0;0
280;0.00548857630370029;-0.0135006046609038;0;0;0;3;4;4;7;0;1;1
281;-0.00269497495157628;-0.0150481359257268;0;2;1;6;5;1;1;2;1;1
282;0.0228379615150471;0.024553356401773998;0;0;0;0;0;0;1;3;6;10
283;0.0232040944351357;0.0258655856014666;0;0;0;1;0;0;0;8;6;5
284;-0.0186813427995161;0.0122596180781111;5;6;7;0;2;0;0;0;0;0
285;-0.0194580181621004;0.0146083286643771;3;7;7;1;2;0;0;0;0;0
286;0.00672713839462001;-0.0123503264962601;0;0;0;5;4;3;4;1;2;1
287;0.0059295637522887;-0.0131186599029652;0;1;0;3;5;3;3;0;3;2
288;0.00909212707256646;-0.009484923927537909;0;1;0;1;4;4;0;5;4;1
289;-9.188984080954409e-05;-0.0156961826136401;0;1;3;4;4;4;1;1;2;0
290;-0.00190755044641988;-0.0153563962620326;0;0;2;4;4;3;3;0;3;1
291;-0.00660432374070605;-0.0120763780001288;0;4;3;6;4;3;0;0;0;0
292;0.0243611751349609;0.0301509420969108;0;0;0;0;0;1;0;2;8;9
293;0.00789297048905988;-0.0110475545989418;0;1;3;0;5;4;0;4;3;0
294;-0.0157977447372266;0.0043679814761700105;7;5;5;0;3;0;0;0;0;0
295;-0.0123698461996628;-0.00331494025108034;1;3;8;1;3;3;1;0;0;0
296;0.0193419655523332;0.0130835030052969;0;0;0;2;1;0;4;0;8;5
297;-0.0184216055451783;0.0114952891023974;5;5;9;0;1;0;0;0;0;0
298;-0.0174330313505748;0.00868308167965875;7;3;6;0;3;1;0;0;0;0
299;0.0202894727651228;0.0160025858638849;0;0;0;0;0;2;2;2;4;10
300;0.008652421546566359;-0.010084121014003999;1;0;0;1;5;3;5;0;3;2
301;0.0155249086589643;0.0027515179716662;0;0;0;0;2;0;1;7;3;7
302;0.0246048570959157;0.0310802355973947;0;0;0;0;0;0;0;5;6;9
303;0.0032355729839098;-0.0149755093714997;0;0;4;2;2;7;4;0;1;0
304;-0.0146445137026452;0.00157733637396569;1;4;4;3;5;1;1;1;0;0
305;0.006615667399289879;-0.0124637142505675;0;0;1;0;4;7;6;0;1;1
306;0.0123086283581339;-0.00417856894397671;0;0;0;0;1;2;1;7;5;4
307;0.0239358944917782;0.0285514452851449;0;0;0;0;0;1;1;4;7;7
308;-0.0082180861089163;-0.0101499964306617;0;3;4;4;2;3;2;1;1;0
309;-0.0211529357395351;0.0200626960884185;5;8;5;0;2;0;0;0;0;0
310;0.0119688746196072;-0.00481579341101955;0;0;0;1;1;2;0;8;4;4
311;0.007796767554361209;-0.0111631351956917;0;0;0;1;7;6;3;0;2;1
312;-0.0175428910051471;0.0089880227605032;2;6;8;0;3;1;0;0;0;0
313;-0.0205611769273382;0.0181071295396402;6;8;6;0;0;0;0;0;0;0
314;0.00918431168325916;-0.009355452859849579;0;0;1;1;2;4;0;8;2;2
315;-0.0174978426325801;0.00886275131473312;1;8;7;1;1;2;0;0;0;0
316;-0.019783206360578;0.0156198432113792;4;8;5;0;3;0;0;0;0;0
317;0.0163477239318165;0.0047853126860219605;0;0;0;1;1;1;0;10;1;6
318;-0.0166532256512069;0.00657300849940908;0;9;6;2;1;1;1;0;0;0
319;-0.0154388027702141;0.00347701597720053;0;3;8;5;3;0;1;0;0;0
320;-0.0028011453871218603;-0.0149991250271177;0;1;1;4;7;6;0;1;0;0
321;-0.0060629159371961795;-0.0126310740934682;0;1;2;6;7;2;0;2;0;0
322;-0.0112857701757868;-0.00536071163482374;1;4;6;2;3;2;2;0;0;0
323;0.00618403044351033;-0.0128843713098098;0;0;0;2;3;4;5;0;3;3
324;-0.004822705154678621;-0.013728276526521999;1;1;3;4;8;2;0;1;0;0
325;-0.00487593276962909;-0.0136861461046124;0;2;5;3;5;1;2;1;1;0
326;-0.0199222295742399;0.0160573480040119;7;9;3;1;0;0;0;0;0;0
327;0.0166881666889449;0.00565788954526718;0;0;0;0;1;2;0;9;3;5
328;0.0218882063500705;0.0212475157124434;0;0;0;0;0;0;1;4;8;7
329;0.006659123025321571;-0.012419743412053999;0;0;0;6;1;2;5;0;6;0
330;-0.0104429360010464;-0.0068237468882670705;3;5;3;1;3;4;0;0;1;0
331;-0.0172586178796012;0.008202848452233921;3;7;7;1;2;0;0;0;0;0
332;-0.00869057197328238;-0.0095086029016767;0;1;2;9;3;4;0;1;0;0
333;-0.0102952887336152;-0.007068560959906909;0;5;4;4;3;1;2;1;0;0
334;-0.000566440000266387;-0.0156573324363435;0;2;2;7;2;3;2;0;0;2
335;0.00688417894593112;-0.0121872755661443;0;0;1;3;4;2;4;0;6;0
336;0.00634096914998436;-0.012734808894331002;0;0;0;3;1;8;4;0;2;2
337;0.0179215929001657;0.00897162542384238;0;0;0;0;1;2;0;5;10;2
